# x_mm,y_mm,z_mm
3.026859097639022878e+01,3.394855600213497837e+01,2.504514289395325832e+00
3.074349917941061960e+01,3.460623492224856790e+01,3.241045203722361823e+00
3.123484994273457005e+01,3.527298102153305592e+01,4.014337982111049641e+00
3.173797117205766583e+01,3.595154828743339692e+01,4.825719998547973510e+00
3.220117658564281982e+01,3.666593284968803346e+01,5.674562775194670117e+00
3.267508540755791557e+01,3.738273582706696629e+01,6.554443726113471591e+00
3.316089604205106411e+01,3.810191061830356318e+01,7.466266740650772782e+00
3.361597601308356076e+01,3.884042256850418084e+01,8.409311194612445917e+00
3.405653141730537214e+01,3.958602100750920982e+01,9.378778404680275571e+00
3.450336688223653425e+01,4.032818259623336132e+01,1.037138200784953312e+01
3.493702073986250412e+01,4.107275987202783085e+01,1.138545906094144655e+01
3.533061885994827378e+01,4.182628449379537017e+01,1.241875740185279220e+01
3.572645070244844590e+01,4.257193041125759692e+01,1.346583754577839187e+01
3.612523258916684910e+01,4.330775469182486148e+01,1.452313885364661239e+01
3.646551594927725404e+01,4.405017976430163884e+01,1.559020885489572628e+01
3.680319202392379196e+01,4.478190609274571443e+01,1.666175372508992325e+01
3.714138644453768023e+01,4.550010398984839810e+01,1.773328478477703740e+01
3.744842257146569864e+01,4.621107205392988959e+01,1.880271210466665721e+01
3.772454288529521449e+01,4.691398403046383692e+01,1.986835378835733579e+01
3.800020915620167017e+01,4.760114871833085459e+01,2.092582277242692612e+01
3.827355918599354112e+01,4.827092146731855848e+01,2.197093886232449478e+01
3.849813776258949360e+01,4.893084597694492288e+01,2.300281525538529692e+01
3.871248529631872515e+01,4.957447183011596081e+01,2.401963791609103538e+01
3.892496867052476262e+01,5.019917743668266752e+01,2.501815237402662717e+01
3.913412462823999505e+01,5.080339582935248188e+01,2.599483332454916962e+01
3.930256809461033640e+01,5.139106215646872045e+01,2.694797013557709420e+01
3.945817328447123629e+01,5.195994989009277987e+01,2.787851488200148964e+01
3.961221089202094703e+01,5.250710712407704506e+01,2.878301257722378992e+01
3.976367250952394983e+01,5.303199685344615943e+01,2.965984194604049407e+01
3.990908248051684382e+01,5.353410444389284351e+01,3.050706813786403870e+01
4.001453559598992626e+01,5.401533843159976556e+01,3.132250409408617386e+01
4.011812618292530885e+01,5.447465870720239423e+01,3.210902104126425627e+01
4.021902251044505761e+01,5.491117026059567507e+01,3.286453330204040668e+01
4.031891783894035086e+01,5.532340593479487012e+01,3.358612131799183942e+01
4.041536620004461611e+01,5.571305806257771565e+01,3.427572002358228076e+01
4.050819916849279423e+01,5.601192198736087846e+01,3.496935024099643385e+01
2.475424620349173210e+01,3.513459350148271199e+01,-1.579761651225844998e-01
2.528409894934005919e+01,3.568464298706177829e+01,3.667670172037540977e-01
2.580029539728057486e+01,3.623512586981652817e+01,9.722968039186112854e-01
2.629668052777005371e+01,3.676979282273669725e+01,1.665010928902099785e+00
2.678498699004348893e+01,3.729131946440787715e+01,2.433655154112817964e+00
2.724507186517109858e+01,3.783026111046998352e+01,3.259037159282084595e+00
2.771153382443661428e+01,3.838014553668656959e+01,4.122194885939022946e+00
2.819430891860772803e+01,3.893185980820064174e+01,5.021131654633172126e+00
