# x_mm,y_mm,z_mm
3.554412403749350347e+01,4.818052626231776969e+01,2.427858054951284927e+01
3.586034763988548235e+01,4.871960165598013504e+01,2.522895177140898682e+01
3.616442327405690804e+01,4.924936190791321877e+01,2.615500128614405995e+01
3.646270022608505457e+01,4.976786041266863236e+01,2.705617349137740391e+01
3.675491845043681849e+01,5.027439586126688909e+01,2.793198726248866137e+01
3.701288495303398207e+01,5.077134483202534909e+01,2.877918666077019338e+01
3.725494504396695561e+01,5.125532690153994508e+01,2.959882812173321653e+01
3.749153663744087339e+01,5.172295176059887467e+01,3.038924612398356118e+01
3.772175778765995346e+01,5.217399829830856106e+01,3.115087423969317371e+01
3.794262106098770460e+01,5.260916287531382096e+01,3.188505421820055474e+01
3.813003981905091422e+01,5.302745536371615032e+01,3.258565051341155794e+01
3.831006107278489736e+01,5.342724319628353413e+01,3.325680593426233145e+01
3.848280119555272449e+01,5.380836864764508221e+01,3.389893846072511963e+01
3.865279362064508462e+01,5.416747252511449062e+01,3.450808793548569042e+01
3.881498609022950319e+01,5.450804666237455365e+01,3.508914395334919334e+01
3.896939084265115838e+01,5.488771267931636544e+01,3.560955199728719833e+01
2.154360897714195744e+01,3.924849591622048450e+01,1.162536716886104909e-01
2.184328170751176401e+01,3.957001872583110469e+01,9.494224553964855096e-01
2.218812444713895360e+01,3.991763645526136628e+01,1.800316219989869237e+00
2.259009741563776075e+01,4.029216585261239914e+01,2.661793019900617896e+00
2.303882525620685584e+01,4.068655213166222495e+01,3.540150761514146094e+00
2.349565002832004268e+01,4.111030930486069934e+01,4.445316362149713818e+00
2.396316502449531427e+01,4.153965098914235909e+01,5.390193126830652659e+00
2.444838747803616741e+01,4.196516823251543826e+01,6.369643253321942922e+00
2.494492925194047217e+01,4.238879842340500659e+01,7.378911858309621152e+00
2.542540426806925780e+01,4.282804300775875816e+01,8.414965931266017662e+00
2.592059615834682518e+01,4.326063235762445913e+01,9.474187701768315151e+00
2.642648839172102626e+01,4.368714821027931805e+01,1.055077578691468787e+01
2.691886256208855244e+01,4.412127191664055914e+01,1.164043550720631970e+01
2.741081382088736973e+01,4.455374081257758689e+01,1.273805713185542565e+01
2.790899119626070402e+01,4.498135070238087962e+01,1.384065095512529986e+01
2.840180062402930972e+01,4.540899872022735195e+01,1.494255072116868988e+01
2.887851032259036188e+01,4.584030669696009852e+01,1.603787916205054387e+01
2.935679750048516823e+01,4.626929268781860571e+01,1.712757255920012511e+01
2.983759240948281288e+01,4.669357384740789740e+01,1.820485141688440223e+01
3.028962445708636508e+01,4.712507837637129171e+01,1.926459711477836834e+01
3.073925109222734164e+01,4.755522754455968482e+01,2.030909472323079612e+01
3.118899580793472381e+01,4.798116979852254360e+01,2.133309863431744802e+01
3.162095437213834259e+01,4.840874275784226910e+01,2.233391528475008059e+01
3.203516644104181665e+01,4.883749406186566944e+01,2.331072021144773032e+01
3.244670018134047496e+01,4.926201477702292664e+01,2.426297183950998715e+01
3.285404527450523915e+01,4.968159359959959431e+01,2.518880971552704651e+01
3.323289502948577478e+01,5.010170591165115894e+01,2.608555502456607300e+01
3.360281970092155035e+01,5.051619641370797353e+01,2.695425669296253446e+01
3.396708492633578658e+01,5.092335852175862243e+01,2.779499075599078139e+01
3.432493024222009836e+01,5.132209460647461441e+01,2.860714424722967308e+01
3.465841393896708666e+01,5.171388758707485067e+01,2.938701463882214782e+01
3.497843484298790884e+01,5.209699961348346164e+01,3.013849656228646978e+01
