"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,         152,       -4.35773507,       -2.28433209,      -2.166938933,      -2.148557217,       1.117433515
          0,           0,         153,      -4.351693441,      -2.279156971,       -2.21697937,      -2.147393174,       1.122933167
          0,           0,         154,      -4.347659269,      -2.275258159,      -2.267645007,      -2.146694595,       1.126749095
          0,           0,         155,      -4.345930818,      -2.273317617,      -2.311409589,      -2.146090372,       1.128575216
          0,           0,         156,      -4.346894152,      -2.273193956,      -2.337265318,      -2.145159967,       1.128012209
          0,           0,         157,      -4.350897204,      -2.276035141,      -2.335104831,      -2.143447172,       1.124711475
          0,           0,         158,       -4.35812152,      -2.281523492,      -2.305710169,      -2.140499112,       1.118434147
          0,           0,         159,      -4.368665622,      -2.290089881,      -2.259663683,      -2.136005344,       1.109025292
          0,           0,         160,      -4.382580827,      -2.301817625,      -2.208437967,       -2.12983807,       1.096391084
          0,           0,         161,      -4.399806347,      -2.316386752,      -2.159180837,      -2.122014118,       1.080538252
          0,           0,         162,      -4.420226278,      -2.333567526,      -2.115170723,      -2.112797454,       1.061525972
          0,           0,         163,      -4.443359222,      -2.352921204,      -2.077712127,      -2.102606756,       1.039769014
          0,           0,         164,      -4.468821947,       -2.37393993,      -2.046890194,       -2.09191312,       1.015614692
          0,           0,         165,      -4.496104456,      -2.395478211,      -2.022180452,      -2.081256427,      0.9895200841
          0,           0,         166,      -4.524343322,      -2.416343338,      -2.003079191,      -2.071114655,      0.9622515196
          0,           0,         167,      -4.552524839,      -2.436017097,      -1.988980712,       -2.06186895,      0.9348447043
          0,           0,         168,      -4.579413388,      -2.452969629,      -1.979274809,      -2.053886875,      0.9084605604
          0,           0,         169,      -4.603603649,      -2.465473408,      -1.973283866,      -2.047430824,      0.8843562996
          0,           0,         170,      -4.623819287,      -2.473501795,      -1.970424921,      -2.042743769,      0.8638285111
          0,           0,         171,      -4.639500117,      -2.478691747,      -1.969926041,      -2.040056475,      0.8476678525
          0,           0,         172,      -4.649916704,      -2.480266076,      -1.971019298,      -2.039538769,       0.836572929
          0,           0,         173,      -4.654531476,      -2.478020451,      -1.973339309,      -2.041358739,      0.8310263392
          0,           0,         174,      -4.653610104,      -2.473551026,      -1.976552994,        -2.0456189,      0.8310023154
          0,           0,         175,      -4.647849269,      -2.467816243,      -1.980230965,      -2.052459395,      0.8358690441
          0,           0,         176,      -4.638484594,      -2.461143993,      -1.984065594,      -2.061966634,      0.8444744744
          0,           0,         177,      -4.626488626,      -2.454364057,      -1.987679239,       -2.07423725,      0.8558524845
          0,           0,         178,      -4.612466816,      -2.447719812,       -1.99110005,      -2.089375609,      0.8693362609
          0,           0,         179,      -4.597105209,      -2.441003182,      -1.994506108,       -2.10751419,      0.8842249117
          0,           0,         180,      -4.580957777,      -2.434740019,      -1.997988307,      -2.128846072,      0.8999050136
          0,           0,         181,      -4.564535913,      -2.428182586,       -2.00170218,      -2.153553322,      0.9158913024
          0,           0,         182,       -4.54818867,      -2.421738904,      -2.005719594,      -2.181875075,       0.931805337
          0,           0,         183,      -4.532166239,      -2.415118743,      -2.010237952,      -2.214038333,      0.9474047234
          0,           0,         184,      -4.516532974,      -2.407515854,      -2.015585196,      -2.250422158,      0.9626124355
          0,           0,         185,      -4.501574172,      -2.398651599,       -2.02204624,      -2.291314509,      0.9772731694
          0,           0,         186,      -4.487523035,      -2.392409282,      -2.029842576,      -2.336902026,      0.9910343261
          0,           0,         187,      -4.474593857,      -2.386323821,      -2.039248542,      -2.386962048,       1.003762557
          0,           0,         188,      -4.462996701,      -2.381572711,       -2.05043412,      -2.440285573,       1.015265471
          0,           0,         189,       -4.45275402,      -2.375276388,      -2.063270698,      -2.493356543,        1.02559822
          0,           0,         190,      -4.444053658,      -2.368744887,      -2.078034571,       -2.53859734,       1.034572488
          0,           0,         191,      -4.437215913,      -2.363479769,      -2.094972153,      -2.563899236,       1.041846341
          0,           0,         192,      -4.432334106,      -2.359803154,      -2.113842087,        -2.5590391,       1.047336811
          0,           0,         193,      -4.429713603,      -2.357207889,      -2.135105791,      -2.524247139,        1.05072597
          0,           0,         194,      -4.429414698,      -2.355839676,      -2.157980263,      -2.470531352,       1.051970759
          0,           0,         195,      -4.431556635,        -2.3566813,       -2.18227038,      -2.410223221,       1.050923203
          0,           0,         196,      -4.436477416,       -2.35933889,      -2.207889847,      -2.350634454,       1.047187698
          0,           0,         197,      -4.444160108,      -2.364044607,      -2.233485305,      -2.295275231,       1.040780548
          0,           0,         198,      -4.454846601,      -2.370874253,      -2.258143539,      -2.245470903,       1.031369109
          0,           0,         199,      -4.468673627,      -2.379748837,      -2.280311231,       -2.20115409,        1.01877156
          0,           0,         200,      -4.485759523,      -2.390695976,      -2.298351995,      -2.162229972,       1.002758959
          0,           0,         201,        -4.5060762,      -2.403198138,      -2.310443264,      -2.128430264,      0.9832558311
          0,           0,         202,      -4.529607162,      -2.417041957,       -2.31584927,      -2.099389978,       0.960142463
          0,           0,         203,      -4.556176261,      -2.431595065,      -2.314887142,      -2.074695337,      0.9334487185
          0,           0,         204,      -4.585318251,      -2.446431803,      -2.309041252,      -2.054078576,      0.9035009093
          0,           0,         205,      -4.616388145,      -2.460535692,      -2.300182727,      -2.037190772,      0.8708364794
          0,           0,         206,      -4.648194847,       -2.47312313,      -2.290480882,      -2.023704863,      0.8366072464
          0,           0,         207,      -4.679159688,      -2.483974311,      -2.281486262,      -2.013269434,      0.8025325189
          0,           0,         208,      -4.706843869,       -2.49246523,      -2.274301481,      -2.005659548,      0.7716031934
          0,           0,         209,      -4.728855504,      -2.498218753,      -2.269739086,      -2.000665315,      0.7469666325
          0,           0,         210,       -4.74319258,      -2.501558193,      -2.268049616,      -1.998080035,      0.7313762574
          0,           0,         211,      -4.748861721,      -2.502819072,      -2.269035714,      -1.997683005,      0.7262487848
          0,           0,         212,      -4.746422254,      -2.503058995,      -2.272162963,      -1.999350861,      0.7308616022
          0,           0,         213,      -4.737223894,      -2.501402245,      -2.276504287,      -2.002881431,      0.7432793648
          0,           0,         214,      -4.723424297,      -2.499753655,      -2.281469144,      -2.008148397,      0.7604836649
          0,           0,         215,      -4.706832881,        -2.4973321,      -2.286405904,      -2.015111821,       0.780133289
          0,           0,         216,      -4.689047853,      -2.495382404,      -2.290692351,      -2.023717789,      0.8003060045
          0,           0,         217,      -4.671052751,      -2.492761397,      -2.293828806,      -2.033914514,      0.8199994047
          0,           0,         218,      -4.653725805,      -2.491007462,      -2.295715597,      -2.045634257,      0.8383582954
          0,           0,         219,      -4.637247856,      -2.488774571,      -2.296599918,      -2.058861674,      0.8552955554
          0,           0,         220,      -4.621794661,      -2.487180426,      -2.296829982,      -2.073615116,      0.8707106512
          0,           0,         221,      -4.607353338,      -2.485502191,      -2.296967935,      -2.089914263,      0.8847364612
          0,           0,         222,       -4.59388753,      -2.483047016,      -2.297715192,      -2.107818133,      0.8974946148
          0,           0,         223,      -4.581419532,      -2.481116624,      -2.299756615,      -2.127273487,      0.9090373787
          0,           0,         224,      -4.569871406,      -2.478050812,      -2.303756459,      -2.148225441,      0.9195496598
          0,           0,         225,      -4.559328377,      -2.475113852,      -2.310177107,      -2.170687533,      0.9289588719
          0,           0,         226,      -4.549859304,      -2.471449353,      -2.319473522,      -2.194402972,      0.9372427715
          0,           0,         227,      -4.541581544,      -2.468173483,      -2.332056371,       -2.21908331,      0.9442948024
          0,           0,         228,      -4.534596196,      -2.464181445,      -2.348243449,      -2.244142454,      0.9500368681
          0,           0,         229,      -4.529115745,      -2.460952651,      -2.368449175,      -2.268292978,      0.9542286395
          0,           0,         230,      -4.525225936,      -2.455842123,      -2.392780031,      -2.289949627,      0.9567534859
          0,           0,         231,      -4.523390313,      -2.452286705,      -2.421274264,      -2.306895147,      0.9573481086
          0,           0,         232,      -4.523836995,      -2.450217744,      -2.453817028,      -2.316852775,      0.9557630153
          0,           0,         233,      -4.526532069,      -2.449840184,      -2.489984123,      -2.318149995,      0.9517099449
          0,           0,         234,      -4.532033519,      -2.456345219,      -2.528181199,      -2.310072869,      0.9447006045
          0,           0,         235,      -4.540059861,      -2.461572689,      -2.566046732,       -2.29392215,      0.9351576243
          0,           0,         236,      -4.550507925,      -2.463101232,      -2.599819892,      -2.271880694,      0.9232363864
          0,           0,         237,      -4.563791944,      -2.467916887,      -2.625342297,      -2.246589184,      0.9083695343
          0,           0,         238,      -4.580218707,       -2.47982547,      -2.638159649,      -2.220328268,      0.8901334919
          0,           0,         239,      -4.599209829,      -2.491909241,      -2.637208048,      -2.194860582,      0.8693051648
          0,           0,         240,      -4.620436526,      -2.502400965,      -2.624555847,      -2.171275073,      0.8462371299
          0,           0,         241,      -4.643595195,      -2.514310007,      -2.605304338,      -2.150237973,      0.8211767623
          0,           0,         242,      -4.668318817,       -2.52653866,      -2.583629145,      -2.132069133,      0.7945344143
          0,           0,         243,      -4.693741467,      -2.540165689,      -2.563300798,      -2.116845372,      0.7671853399
          0,           0,         244,       -4.71894159,      -2.554880918,      -2.546446466,      -2.104496236,       0.740094333
          0,           0,         245,      -4.742481533,      -2.568215508,      -2.534675274,      -2.094924548,      0.7148608386
          0,           0,         246,      -4.763012231,      -2.579822553,      -2.528278365,      -2.087966415,      0.6929053425
          0,           0,         247,      -4.779078677,      -2.590557973,      -2.527929234,      -2.083476754,      0.6757128765
          0,           0,         248,      -4.789829939,       -2.60125221,        -2.5332627,      -2.081289463,      0.6642033583
          0,           0,         249,      -4.794552261,      -2.609627813,      -2.544021665,      -2.081289268,      0.6590549788
          0,           0,         250,      -4.793902167,      -2.618211206,      -2.559039155,      -2.083371886,       0.659545558
          0,           0,         251,      -4.788096386,      -2.622806726,      -2.577172591,      -2.087494454,      0.6653327209
          0,           0,         252,       -4.77836915,       -2.62497136,      -2.596610797,      -2.093601937,      0.6748564084
          0,           0,         253,      -4.766265034,      -2.626363548,      -2.615361238,      -2.101663886,      0.6869073624
          0,           0,         254,      -4.752814968,       -2.62715342,      -2.630737742,      -2.111712161,      0.7003688203
          0,           0,         255,      -4.738637179,      -2.626214225,      -2.639936496,      -2.123807547,      0.7145865681
          0,           0,         256,      -4.724211526,      -2.621965353,      -2.641691555,      -2.138015303,      0.7291688561
          0,           0,         257,      -4.709861413,      -2.616728114,      -2.635651723,      -2.154465655,      0.7434868013
          0,           0,         258,      -4.695917281,      -2.611312916,      -2.623640371,       -2.17325024,      0.7573269481
          0,           0,         259,      -4.682638802,      -2.604105752,      -2.607528504,      -2.194506993,      0.7708702148
          0,           0,         260,      -4.669783348,       -2.59437302,      -2.589517373,      -2.218345373,      0.7841373912
          0,           0,         261,      -4.657860583,      -2.587230112,       -2.57138942,      -2.244857571,      0.7964670233
          0,           0,         262,      -4.647160528,      -2.589337036,      -2.554303014,      -2.274103233,      0.8075252804
          0,           0,         263,      -4.637225494,      -2.584871399,      -2.538911663,      -2.305984782,      0.8181840695
          0,           0,         264,      -4.627981624,      -2.572266903,      -2.525458798,      -2.340192702,      0.8285048456
          0,           0,         265,      -4.620054746,      -2.563378333,      -2.514026257,      -2.375801074,      0.8375256567
          0,           0,         266,       -4.61389005,       -2.56349365,      -2.504514584,      -2.411468554,       0.844662658
          0,           0,         267,      -4.609247209,      -2.560819104,      -2.496783628,      -2.444621023,      0.8506048024
          0,           0,         268,      -4.606033603,      -2.555491956,      -2.490316963,      -2.471721419,      0.8552033442
          0,           0,         269,      -4.604531982,      -2.548870678,      -2.484980884,       -2.48860978,      0.8581820282
          0,           0,         270,      -4.605191138,      -2.549095532,      -2.480538257,      -2.492091768,      0.8588772549
          0,           0,         271,      -4.607942978,      -2.550828103,      -2.476776775,      -2.481455039,      0.8574766094
          0,           0,         272,      -4.612837905,      -2.555186291,      -2.473709148,      -2.459110858,      0.8538671812
          0,           0,         273,      -4.619887859,      -2.559401259,      -2.471132045,      -2.428808126,      0.8480668397
          0,           0,         274,      -4.629153993,       -2.56539555,      -2.469107246,      -2.394772517,      0.8399432443
          0,           0,         275,      -4.640659245,      -2.572412035,      -2.467828448,      -2.360221015,      0.8294449716
          0,           0,         276,      -4.654130895,      -2.576571496,      -2.467444357,      -2.326996017,      0.8168726583
          0,           0,         277,        -4.6697501,      -2.584144336,      -2.467932593,      -2.296370583,      0.8018775403
          0,           0,         278,      -4.687237768,      -2.594870627,      -2.469617298,      -2.268963326,      0.7846975161
